evidence_onset_id,series_id,study,model,task,metric,retention_threshold,threshold_status,interpolated_context_tokens,lower_evidence_id,upper_evidence_id,lower_context_tokens,upper_context_tokens,lower_retention,upper_retention,interpolation_scale,anchor_count,target_model_scope,limitations
chroma-gpt41-longmemeval-reanalysis-retention-70pct,chroma-gpt41-longmemeval-reanalysis,Chroma Context Rot LongMemEval,GPT-4.1,knowledge update temporal reasoning and multi-session conversational QA,judge accuracy,0.7,unidentifiable,,,,,,,,log2(context_tokens),2,historical-proxy-not-gpt-5.6-calibration,Two-point log2 interpolation over a mean-context contrast; the conditions may differ in retrieval burden as well as length. | Input length is a mean rather than a fixed treatment; labels come from an LLM judge; focused and full conditions differ in retrieval burden as well as length. | Input length is a mean rather than a fixed treatment; full prompts add irrelevant context and retrieval burden; labels come from an LLM judge.
chroma-gpt41-longmemeval-reanalysis-retention-50pct,chroma-gpt41-longmemeval-reanalysis,Chroma Context Rot LongMemEval,GPT-4.1,knowledge update temporal reasoning and multi-session conversational QA,judge accuracy,0.5,unidentifiable,,,,,,,,log2(context_tokens),2,historical-proxy-not-gpt-5.6-calibration,Two-point log2 interpolation over a mean-context contrast; the conditions may differ in retrieval burden as well as length. | Input length is a mean rather than a fixed treatment; labels come from an LLM judge; focused and full conditions differ in retrieval burden as well as length. | Input length is a mean rather than a fixed treatment; full prompts add irrelevant context and retrieval burden; labels come from an LLM judge.
lostmiddle-gpt35-controls-retention-95pct,lostmiddle-gpt35-controls,Lost in the Middle,GPT-3.5-Turbo-0613,NaturalQuestions-Open multi-document QA,closed-book accuracy,0.95,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Closed-book control has no comparable context length; historical model and QA task; answer-substring accuracy. | The source wording does not disambiguate relative percent from percentage points and does not give the exact extrema; do not use as a numeric slope. | Oracle supplies only the gold document; it is not a long-context point; historical model and QA task. | This is an upper bound rather than a point estimate; document count is not a reported token count; do not interpolate it as a context-length anchor.
lostmiddle-gpt35-controls-retention-90pct,lostmiddle-gpt35-controls,Lost in the Middle,GPT-3.5-Turbo-0613,NaturalQuestions-Open multi-document QA,closed-book accuracy,0.9,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Closed-book control has no comparable context length; historical model and QA task; answer-substring accuracy. | The source wording does not disambiguate relative percent from percentage points and does not give the exact extrema; do not use as a numeric slope. | Oracle supplies only the gold document; it is not a long-context point; historical model and QA task. | This is an upper bound rather than a point estimate; document count is not a reported token count; do not interpolate it as a context-length anchor.
lostmiddle-gpt35-controls-retention-85pct,lostmiddle-gpt35-controls,Lost in the Middle,GPT-3.5-Turbo-0613,NaturalQuestions-Open multi-document QA,closed-book accuracy,0.85,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Closed-book control has no comparable context length; historical model and QA task; answer-substring accuracy. | The source wording does not disambiguate relative percent from percentage points and does not give the exact extrema; do not use as a numeric slope. | Oracle supplies only the gold document; it is not a long-context point; historical model and QA task. | This is an upper bound rather than a point estimate; document count is not a reported token count; do not interpolate it as a context-length anchor.
lostmiddle-gpt35-controls-retention-80pct,lostmiddle-gpt35-controls,Lost in the Middle,GPT-3.5-Turbo-0613,NaturalQuestions-Open multi-document QA,closed-book accuracy,0.8,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Closed-book control has no comparable context length; historical model and QA task; answer-substring accuracy. | The source wording does not disambiguate relative percent from percentage points and does not give the exact extrema; do not use as a numeric slope. | Oracle supplies only the gold document; it is not a long-context point; historical model and QA task. | This is an upper bound rather than a point estimate; document count is not a reported token count; do not interpolate it as a context-length anchor.
lostmiddle-gpt35-controls-retention-70pct,lostmiddle-gpt35-controls,Lost in the Middle,GPT-3.5-Turbo-0613,NaturalQuestions-Open multi-document QA,closed-book accuracy,0.7,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Closed-book control has no comparable context length; historical model and QA task; answer-substring accuracy. | The source wording does not disambiguate relative percent from percentage points and does not give the exact extrema; do not use as a numeric slope. | Oracle supplies only the gold document; it is not a long-context point; historical model and QA task. | This is an upper bound rather than a point estimate; document count is not a reported token count; do not interpolate it as a context-length anchor.
lostmiddle-gpt35-controls-retention-50pct,lostmiddle-gpt35-controls,Lost in the Middle,GPT-3.5-Turbo-0613,NaturalQuestions-Open multi-document QA,closed-book accuracy,0.5,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Closed-book control has no comparable context length; historical model and QA task; answer-substring accuracy. | The source wording does not disambiguate relative percent from percentage points and does not give the exact extrema; do not use as a numeric slope. | Oracle supplies only the gold document; it is not a long-context point; historical model and QA task. | This is an upper bound rather than a point estimate; document count is not a reported token count; do not interpolate it as a context-length anchor.
lostmiddle-llama2-20doc-position-retention-95pct,lostmiddle-llama2-20doc-position,Lost in the Middle,Llama-2-70B-Chat,20-document NaturalQuestions-Open QA with gold document at index 0,exact match,0.95,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Gold-document position changes while document count stays 20; token count and denominator are not stated in the README block. | Position effect is not a context-length slope; token count and denominator are not stated in the README block.
lostmiddle-llama2-20doc-position-retention-90pct,lostmiddle-llama2-20doc-position,Lost in the Middle,Llama-2-70B-Chat,20-document NaturalQuestions-Open QA with gold document at index 0,exact match,0.9,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Gold-document position changes while document count stays 20; token count and denominator are not stated in the README block. | Position effect is not a context-length slope; token count and denominator are not stated in the README block.
lostmiddle-llama2-20doc-position-retention-85pct,lostmiddle-llama2-20doc-position,Lost in the Middle,Llama-2-70B-Chat,20-document NaturalQuestions-Open QA with gold document at index 0,exact match,0.85,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Gold-document position changes while document count stays 20; token count and denominator are not stated in the README block. | Position effect is not a context-length slope; token count and denominator are not stated in the README block.
lostmiddle-llama2-20doc-position-retention-80pct,lostmiddle-llama2-20doc-position,Lost in the Middle,Llama-2-70B-Chat,20-document NaturalQuestions-Open QA with gold document at index 0,exact match,0.8,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Gold-document position changes while document count stays 20; token count and denominator are not stated in the README block. | Position effect is not a context-length slope; token count and denominator are not stated in the README block.
lostmiddle-llama2-20doc-position-retention-70pct,lostmiddle-llama2-20doc-position,Lost in the Middle,Llama-2-70B-Chat,20-document NaturalQuestions-Open QA with gold document at index 0,exact match,0.7,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Gold-document position changes while document count stays 20; token count and denominator are not stated in the README block. | Position effect is not a context-length slope; token count and denominator are not stated in the README block.
lostmiddle-llama2-20doc-position-retention-50pct,lostmiddle-llama2-20doc-position,Lost in the Middle,Llama-2-70B-Chat,20-document NaturalQuestions-Open QA with gold document at index 0,exact match,0.5,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Gold-document position changes while document count stays 20; token count and denominator are not stated in the README block. | Position effect is not a context-length slope; token count and denominator are not stated in the README block.
lostmiddle-longchat-kv140-position-retention-95pct,lostmiddle-longchat-kv140-position,Lost in the Middle,LongChat-13B-16K,140-pair key-value retrieval with key at index 0,exact match,0.95,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Position varies at fixed 140-pair context; token count is not supplied; synthetic retrieval task. | Position effect is not a context-length slope; synthetic retrieval task.
lostmiddle-longchat-kv140-position-retention-90pct,lostmiddle-longchat-kv140-position,Lost in the Middle,LongChat-13B-16K,140-pair key-value retrieval with key at index 0,exact match,0.9,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Position varies at fixed 140-pair context; token count is not supplied; synthetic retrieval task. | Position effect is not a context-length slope; synthetic retrieval task.
lostmiddle-longchat-kv140-position-retention-85pct,lostmiddle-longchat-kv140-position,Lost in the Middle,LongChat-13B-16K,140-pair key-value retrieval with key at index 0,exact match,0.85,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Position varies at fixed 140-pair context; token count is not supplied; synthetic retrieval task. | Position effect is not a context-length slope; synthetic retrieval task.
lostmiddle-longchat-kv140-position-retention-80pct,lostmiddle-longchat-kv140-position,Lost in the Middle,LongChat-13B-16K,140-pair key-value retrieval with key at index 0,exact match,0.8,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Position varies at fixed 140-pair context; token count is not supplied; synthetic retrieval task. | Position effect is not a context-length slope; synthetic retrieval task.
lostmiddle-longchat-kv140-position-retention-70pct,lostmiddle-longchat-kv140-position,Lost in the Middle,LongChat-13B-16K,140-pair key-value retrieval with key at index 0,exact match,0.7,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Position varies at fixed 140-pair context; token count is not supplied; synthetic retrieval task. | Position effect is not a context-length slope; synthetic retrieval task.
lostmiddle-longchat-kv140-position-retention-50pct,lostmiddle-longchat-kv140-position,Lost in the Middle,LongChat-13B-16K,140-pair key-value retrieval with key at index 0,exact match,0.5,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Position varies at fixed 140-pair context; token count is not supplied; synthetic retrieval task. | Position effect is not a context-length slope; synthetic retrieval task.
lostmiddle-mpt-kv140-position-retention-95pct,lostmiddle-mpt-kv140-position,Lost in the Middle,MPT-30B-Instruct,140-pair key-value retrieval with key at index 0,exact match,0.95,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Position varies at fixed 140-pair context; token count is not supplied; synthetic retrieval task. | Position effect is not a context-length slope; synthetic retrieval task.
lostmiddle-mpt-kv140-position-retention-90pct,lostmiddle-mpt-kv140-position,Lost in the Middle,MPT-30B-Instruct,140-pair key-value retrieval with key at index 0,exact match,0.9,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Position varies at fixed 140-pair context; token count is not supplied; synthetic retrieval task. | Position effect is not a context-length slope; synthetic retrieval task.
lostmiddle-mpt-kv140-position-retention-85pct,lostmiddle-mpt-kv140-position,Lost in the Middle,MPT-30B-Instruct,140-pair key-value retrieval with key at index 0,exact match,0.85,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Position varies at fixed 140-pair context; token count is not supplied; synthetic retrieval task. | Position effect is not a context-length slope; synthetic retrieval task.
lostmiddle-mpt-kv140-position-retention-80pct,lostmiddle-mpt-kv140-position,Lost in the Middle,MPT-30B-Instruct,140-pair key-value retrieval with key at index 0,exact match,0.8,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Position varies at fixed 140-pair context; token count is not supplied; synthetic retrieval task. | Position effect is not a context-length slope; synthetic retrieval task.
lostmiddle-mpt-kv140-position-retention-70pct,lostmiddle-mpt-kv140-position,Lost in the Middle,MPT-30B-Instruct,140-pair key-value retrieval with key at index 0,exact match,0.7,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Position varies at fixed 140-pair context; token count is not supplied; synthetic retrieval task. | Position effect is not a context-length slope; synthetic retrieval task.
lostmiddle-mpt-kv140-position-retention-50pct,lostmiddle-mpt-kv140-position,Lost in the Middle,MPT-30B-Instruct,140-pair key-value retrieval with key at index 0,exact match,0.5,unidentifiable,,,,,,,,log2(context_tokens),0,historical-proxy-not-gpt-5.6-calibration,Position varies at fixed 140-pair context; token count is not supplied; synthetic retrieval task. | Position effect is not a context-length slope; synthetic retrieval task.
nolima-gpt41-context-retention-95pct,nolima-gpt41-context,NoLiMa,GPT-4.1,latent-association needle retrieval without literal overlap,accuracy,0.95,interpolated,4625.22583495388,nolima-gpt41-4k,nolima-gpt41-8k,4000,8000,0.959205020920502,0.915271966527197,log2(context_tokens),8,historical-proxy-not-gpt-5.6-calibration,Score is rounded to 0.1 percentage point; 7540 is the paper's design count for a 26-placement context length. | Score is rounded to 0.1 percentage point; synthetic association-recall task. | Score is rounded to 0.1 percentage point; 64K uses 11 rather than 26 placements and is not directly equal-precision with shorter lengths. | Score is rounded to 0.1 percentage point; 128K uses 11 rather than 26 placements; no observations beyond 128K are reported. | Base pools three short-context settings; score is rounded to 0.1 percentage point; the benchmark is synthetic retrieval and reasoning rather than a coding-agent session.
nolima-gpt41-context-retention-90pct,nolima-gpt41-context,NoLiMa,GPT-4.1,latent-association needle retrieval without literal overlap,accuracy,0.9,interpolated,11806.7374996134,nolima-gpt41-8k,nolima-gpt41-16k,8000,16000,0.915271966527197,0.888075313807531,log2(context_tokens),8,historical-proxy-not-gpt-5.6-calibration,Score is rounded to 0.1 percentage point; 7540 is the paper's design count for a 26-placement context length. | Score is rounded to 0.1 percentage point; synthetic association-recall task. | Score is rounded to 0.1 percentage point; 64K uses 11 rather than 26 placements and is not directly equal-precision with shorter lengths. | Score is rounded to 0.1 percentage point; 128K uses 11 rather than 26 placements; no observations beyond 128K are reported. | Base pools three short-context settings; score is rounded to 0.1 percentage point; the benchmark is synthetic retrieval and reasoning rather than a coding-agent session.
nolima-gpt41-context-retention-85pct,nolima-gpt41-context,NoLiMa,GPT-4.1,latent-association needle retrieval without literal overlap,accuracy,0.85,interpolated,26240.5397462678,nolima-gpt41-16k,nolima-gpt41-32k,16000,32000,0.888075313807531,0.834728033472803,log2(context_tokens),8,historical-proxy-not-gpt-5.6-calibration,Score is rounded to 0.1 percentage point; 7540 is the paper's design count for a 26-placement context length. | Score is rounded to 0.1 percentage point; synthetic association-recall task. | Score is rounded to 0.1 percentage point; 64K uses 11 rather than 26 placements and is not directly equal-precision with shorter lengths. | Score is rounded to 0.1 percentage point; 128K uses 11 rather than 26 placements; no observations beyond 128K are reported. | Base pools three short-context settings; score is rounded to 0.1 percentage point; the benchmark is synthetic retrieval and reasoning rather than a coding-agent session.
nolima-gpt41-context-retention-80pct,nolima-gpt41-context,NoLiMa,GPT-4.1,latent-association needle retrieval without literal overlap,accuracy,0.8,interpolated,40188.5569752229,nolima-gpt41-32k,nolima-gpt41-64k,32000,64000,0.834728033472803,0.72907949790795,log2(context_tokens),8,historical-proxy-not-gpt-5.6-calibration,Score is rounded to 0.1 percentage point; 7540 is the paper's design count for a 26-placement context length. | Score is rounded to 0.1 percentage point; synthetic association-recall task. | Score is rounded to 0.1 percentage point; 64K uses 11 rather than 26 placements and is not directly equal-precision with shorter lengths. | Score is rounded to 0.1 percentage point; 128K uses 11 rather than 26 placements; no observations beyond 128K are reported. | Base pools three short-context settings; score is rounded to 0.1 percentage point; the benchmark is synthetic retrieval and reasoning rather than a coding-agent session.
nolima-gpt41-context-retention-70pct,nolima-gpt41-context,NoLiMa,GPT-4.1,latent-association needle retrieval without literal overlap,accuracy,0.7,interpolated,94091.9895288988,nolima-gpt41-64k,nolima-gpt41-128k,64000,128000,0.72907949790795,0.676778242677824,log2(context_tokens),8,historical-proxy-not-gpt-5.6-calibration,Score is rounded to 0.1 percentage point; 7540 is the paper's design count for a 26-placement context length. | Score is rounded to 0.1 percentage point; synthetic association-recall task. | Score is rounded to 0.1 percentage point; 64K uses 11 rather than 26 placements and is not directly equal-precision with shorter lengths. | Score is rounded to 0.1 percentage point; 128K uses 11 rather than 26 placements; no observations beyond 128K are reported. | Base pools three short-context settings; score is rounded to 0.1 percentage point; the benchmark is synthetic retrieval and reasoning rather than a coding-agent session.
nolima-gpt41-context-retention-50pct,nolima-gpt41-context,NoLiMa,GPT-4.1,latent-association needle retrieval without literal overlap,accuracy,0.5,unidentifiable,,,,,,,,log2(context_tokens),8,historical-proxy-not-gpt-5.6-calibration,Score is rounded to 0.1 percentage point; 7540 is the paper's design count for a 26-placement context length. | Score is rounded to 0.1 percentage point; synthetic association-recall task. | Score is rounded to 0.1 percentage point; 64K uses 11 rather than 26 placements and is not directly equal-precision with shorter lengths. | Score is rounded to 0.1 percentage point; 128K uses 11 rather than 26 placements; no observations beyond 128K are reported. | Base pools three short-context settings; score is rounded to 0.1 percentage point; the benchmark is synthetic retrieval and reasoning rather than a coding-agent session.
ruler-gemini15-context-retention-95pct,ruler-gemini15-context,RULER,Gemini-1.5-Pro,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,0.95,unidentifiable,,,,,,,,log2(context_tokens),6,historical-proxy-not-gpt-5.6-calibration,Rounded aggregate hides large task-category differences; synthetic benchmark; model is historical; maximum observed length is 128K. | Rounded aggregate hides task heterogeneity; synthetic benchmark; model is historical. | Non-monotone point estimate; rounded aggregate hides task heterogeneity; synthetic benchmark. | Rounded aggregate hides task heterogeneity; synthetic benchmark; no observations beyond 128K.
ruler-gemini15-context-retention-90pct,ruler-gemini15-context,RULER,Gemini-1.5-Pro,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,0.9,unidentifiable,,,,,,,,log2(context_tokens),6,historical-proxy-not-gpt-5.6-calibration,Rounded aggregate hides large task-category differences; synthetic benchmark; model is historical; maximum observed length is 128K. | Rounded aggregate hides task heterogeneity; synthetic benchmark; model is historical. | Non-monotone point estimate; rounded aggregate hides task heterogeneity; synthetic benchmark. | Rounded aggregate hides task heterogeneity; synthetic benchmark; no observations beyond 128K.
ruler-gemini15-context-retention-85pct,ruler-gemini15-context,RULER,Gemini-1.5-Pro,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,0.85,unidentifiable,,,,,,,,log2(context_tokens),6,historical-proxy-not-gpt-5.6-calibration,Rounded aggregate hides large task-category differences; synthetic benchmark; model is historical; maximum observed length is 128K. | Rounded aggregate hides task heterogeneity; synthetic benchmark; model is historical. | Non-monotone point estimate; rounded aggregate hides task heterogeneity; synthetic benchmark. | Rounded aggregate hides task heterogeneity; synthetic benchmark; no observations beyond 128K.
ruler-gemini15-context-retention-80pct,ruler-gemini15-context,RULER,Gemini-1.5-Pro,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,0.8,unidentifiable,,,,,,,,log2(context_tokens),6,historical-proxy-not-gpt-5.6-calibration,Rounded aggregate hides large task-category differences; synthetic benchmark; model is historical; maximum observed length is 128K. | Rounded aggregate hides task heterogeneity; synthetic benchmark; model is historical. | Non-monotone point estimate; rounded aggregate hides task heterogeneity; synthetic benchmark. | Rounded aggregate hides task heterogeneity; synthetic benchmark; no observations beyond 128K.
ruler-gemini15-context-retention-70pct,ruler-gemini15-context,RULER,Gemini-1.5-Pro,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,0.7,unidentifiable,,,,,,,,log2(context_tokens),6,historical-proxy-not-gpt-5.6-calibration,Rounded aggregate hides large task-category differences; synthetic benchmark; model is historical; maximum observed length is 128K. | Rounded aggregate hides task heterogeneity; synthetic benchmark; model is historical. | Non-monotone point estimate; rounded aggregate hides task heterogeneity; synthetic benchmark. | Rounded aggregate hides task heterogeneity; synthetic benchmark; no observations beyond 128K.
ruler-gemini15-context-retention-50pct,ruler-gemini15-context,RULER,Gemini-1.5-Pro,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,0.5,unidentifiable,,,,,,,,log2(context_tokens),6,historical-proxy-not-gpt-5.6-calibration,Rounded aggregate hides large task-category differences; synthetic benchmark; model is historical; maximum observed length is 128K. | Rounded aggregate hides task heterogeneity; synthetic benchmark; model is historical. | Non-monotone point estimate; rounded aggregate hides task heterogeneity; synthetic benchmark. | Rounded aggregate hides task heterogeneity; synthetic benchmark; no observations beyond 128K.
ruler-gpt4-1106-context-retention-95pct,ruler-gpt4-1106-context,RULER,gpt-4-1106-preview,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,0.95,interpolated,37547.5055555401,ruler-gpt4-32k,ruler-gpt4-64k,32000,64000,0.9648033126294,0.900621118012422,log2(context_tokens),6,historical-proxy-not-gpt-5.6-calibration,Rounded aggregate hides large task-category differences; synthetic benchmark; model is historical; maximum observed length is 128K. | Rounded aggregate hides task heterogeneity; synthetic benchmark; model is historical. | Rounded aggregate hides task heterogeneity; synthetic benchmark; no observations beyond 128K.
ruler-gpt4-1106-context-retention-90pct,ruler-gpt4-1106-context,RULER,gpt-4-1106-preview,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,0.9,interpolated,64460.5604851753,ruler-gpt4-64k,ruler-gpt4-128k,64000,128000,0.900621118012422,0.840579710144928,log2(context_tokens),6,historical-proxy-not-gpt-5.6-calibration,Rounded aggregate hides large task-category differences; synthetic benchmark; model is historical; maximum observed length is 128K. | Rounded aggregate hides task heterogeneity; synthetic benchmark; model is historical. | Rounded aggregate hides task heterogeneity; synthetic benchmark; no observations beyond 128K.
