evidence_id,series_id,study,model,task,metric,context_tokens,score,score_unit,sample_size,sample_unit,evidence_status,numeric_precision,source_location,source_url,derivation,uncertainty,limitations,target_model_scope,anchor_eligible,reference_evidence_id,reference_context_tokens,reference_score,retention,curve_order
lostmiddle-gpt35-worst-bound,lostmiddle-gpt35-controls,Lost in the Middle,GPT-3.5-Turbo-0613,NaturalQuestions-Open multi-document QA,worst contextual accuracy upper bound,,0.561,proportion,2655,questions,source-reported,inequality,Section 4.1 prose,https://aclanthology.org/2024.tacl-1.9/,Paper states the worst case in the 20- and 30-document settings is below the 56.1 percent closed-book score.,No confidence interval or standard error reported,This is an upper bound rather than a point estimate; document count is not a reported token count; do not interpolate it as a context-length anchor.,historical-proxy-not-gpt-5.6-calibration,false,,,,,4
lostmiddle-llama2-pos0,lostmiddle-llama2-20doc-position,Lost in the Middle,Llama-2-70B-Chat,20-document NaturalQuestions-Open QA with gold document at index 0,exact match,,0.567741935483871,proportion,,questions,source-reported,approximate,Official repository reproducibility target,https://github.com/nelson-liu/lost-in-the-middle,Repository lists this expected result as approximately around the displayed value.,No confidence interval or standard error reported,Gold-document position changes while document count stays 20; token count and denominator are not stated in the README block.,historical-proxy-not-gpt-5.6-calibration,false,,,,,1
lostmiddle-llama2-pos14,lostmiddle-llama2-20doc-position,Lost in the Middle,Llama-2-70B-Chat,20-document NaturalQuestions-Open QA with gold document at index 14,exact match,,0.596584440227704,proportion,,questions,source-reported,approximate,Official repository reproducibility target,https://github.com/nelson-liu/lost-in-the-middle,Repository lists this expected result as approximately around the displayed value.,No confidence interval or standard error reported,Position effect is not a context-length slope; token count and denominator are not stated in the README block.,historical-proxy-not-gpt-5.6-calibration,false,,,,,2
lostmiddle-llama2-pos19,lostmiddle-llama2-20doc-position,Lost in the Middle,Llama-2-70B-Chat,20-document NaturalQuestions-Open QA with gold document at index 19,exact match,,0.694876660341556,proportion,,questions,source-reported,approximate,Official repository reproducibility target,https://github.com/nelson-liu/lost-in-the-middle,Repository lists this expected result as approximately around the displayed value.,No confidence interval or standard error reported,Position effect is not a context-length slope; token count and denominator are not stated in the README block.,historical-proxy-not-gpt-5.6-calibration,false,,,,,3
lostmiddle-llama2-pos4,lostmiddle-llama2-20doc-position,Lost in the Middle,Llama-2-70B-Chat,20-document NaturalQuestions-Open QA with gold document at index 4,exact match,,0.533206831119545,proportion,,questions,source-reported,approximate,Official repository reproducibility target,https://github.com/nelson-liu/lost-in-the-middle,Repository lists this expected result as approximately around the displayed value.,No confidence interval or standard error reported,Position effect is not a context-length slope; token count and denominator are not stated in the README block.,historical-proxy-not-gpt-5.6-calibration,false,,,,,4
lostmiddle-llama2-pos9,lostmiddle-llama2-20doc-position,Lost in the Middle,Llama-2-70B-Chat,20-document NaturalQuestions-Open QA with gold document at index 9,exact match,,0.540796963946869,proportion,,questions,source-reported,approximate,Official repository reproducibility target,https://github.com/nelson-liu/lost-in-the-middle,Repository lists this expected result as approximately around the displayed value.,No confidence interval or standard error reported,Position effect is not a context-length slope; token count and denominator are not stated in the README block.,historical-proxy-not-gpt-5.6-calibration,false,,,,,5
lostmiddle-longchat-kv-pos0,lostmiddle-longchat-kv140-position,Lost in the Middle,LongChat-13B-16K,140-pair key-value retrieval with key at index 0,exact match,,0.370,proportion,500,examples,source-reported,approximate,Official repository reproducibility target,https://github.com/nelson-liu/lost-in-the-middle,Repository lists expected result as approximately around 0.370.,No confidence interval or standard error reported,Position varies at fixed 140-pair context; token count is not supplied; synthetic retrieval task.,historical-proxy-not-gpt-5.6-calibration,false,,,,,1
lostmiddle-longchat-kv-pos104,lostmiddle-longchat-kv140-position,Lost in the Middle,LongChat-13B-16K,140-pair key-value retrieval with key at index 104,exact match,,0.656,proportion,500,examples,source-reported,approximate,Official repository reproducibility target,https://github.com/nelson-liu/lost-in-the-middle,Repository lists expected result as approximately around 0.656.,No confidence interval or standard error reported,Position effect is not a context-length slope; synthetic retrieval task.,historical-proxy-not-gpt-5.6-calibration,false,,,,,2
lostmiddle-longchat-kv-pos139,lostmiddle-longchat-kv140-position,Lost in the Middle,LongChat-13B-16K,140-pair key-value retrieval with key at index 139,exact match,,0.886,proportion,500,examples,source-reported,approximate,Official repository reproducibility target,https://github.com/nelson-liu/lost-in-the-middle,Repository lists expected result as approximately around 0.886.,No confidence interval or standard error reported,Position effect is not a context-length slope; synthetic retrieval task.,historical-proxy-not-gpt-5.6-calibration,false,,,,,3
lostmiddle-longchat-kv-pos34,lostmiddle-longchat-kv140-position,Lost in the Middle,LongChat-13B-16K,140-pair key-value retrieval with key at index 34,exact match,,0.382,proportion,500,examples,source-reported,approximate,Official repository reproducibility target,https://github.com/nelson-liu/lost-in-the-middle,Repository lists expected result as approximately around 0.382.,No confidence interval or standard error reported,Position effect is not a context-length slope; synthetic retrieval task.,historical-proxy-not-gpt-5.6-calibration,false,,,,,4
lostmiddle-longchat-kv-pos69,lostmiddle-longchat-kv140-position,Lost in the Middle,LongChat-13B-16K,140-pair key-value retrieval with key at index 69,exact match,,0.354,proportion,500,examples,source-reported,approximate,Official repository reproducibility target,https://github.com/nelson-liu/lost-in-the-middle,Repository lists expected result as approximately around 0.354.,No confidence interval or standard error reported,Position effect is not a context-length slope; synthetic retrieval task.,historical-proxy-not-gpt-5.6-calibration,false,,,,,5
lostmiddle-mpt-kv-pos0,lostmiddle-mpt-kv140-position,Lost in the Middle,MPT-30B-Instruct,140-pair key-value retrieval with key at index 0,exact match,,1.000,proportion,500,examples,source-reported,approximate,Official repository reproducibility target,https://github.com/nelson-liu/lost-in-the-middle,Repository lists expected result as approximately around 1.000.,No confidence interval or standard error reported,Position varies at fixed 140-pair context; token count is not supplied; synthetic retrieval task.,historical-proxy-not-gpt-5.6-calibration,false,,,,,1
lostmiddle-mpt-kv-pos104,lostmiddle-mpt-kv140-position,Lost in the Middle,MPT-30B-Instruct,140-pair key-value retrieval with key at index 104,exact match,,0.804,proportion,500,examples,source-reported,approximate,Official repository reproducibility target,https://github.com/nelson-liu/lost-in-the-middle,Repository lists expected result as approximately around 0.804.,No confidence interval or standard error reported,Position effect is not a context-length slope; synthetic retrieval task.,historical-proxy-not-gpt-5.6-calibration,false,,,,,2
lostmiddle-mpt-kv-pos139,lostmiddle-mpt-kv140-position,Lost in the Middle,MPT-30B-Instruct,140-pair key-value retrieval with key at index 139,exact match,,0.962,proportion,500,examples,source-reported,approximate,Official repository reproducibility target,https://github.com/nelson-liu/lost-in-the-middle,Repository lists expected result as approximately around 0.962.,No confidence interval or standard error reported,Position effect is not a context-length slope; synthetic retrieval task.,historical-proxy-not-gpt-5.6-calibration,false,,,,,3
lostmiddle-mpt-kv-pos34,lostmiddle-mpt-kv140-position,Lost in the Middle,MPT-30B-Instruct,140-pair key-value retrieval with key at index 34,exact match,,0.936,proportion,500,examples,source-reported,approximate,Official repository reproducibility target,https://github.com/nelson-liu/lost-in-the-middle,Repository lists expected result as approximately around 0.936.,No confidence interval or standard error reported,Position effect is not a context-length slope; synthetic retrieval task.,historical-proxy-not-gpt-5.6-calibration,false,,,,,4
lostmiddle-mpt-kv-pos69,lostmiddle-mpt-kv140-position,Lost in the Middle,MPT-30B-Instruct,140-pair key-value retrieval with key at index 69,exact match,,0.886,proportion,500,examples,source-reported,approximate,Official repository reproducibility target,https://github.com/nelson-liu/lost-in-the-middle,Repository lists expected result as approximately around 0.886.,No confidence interval or standard error reported,Position effect is not a context-length slope; synthetic retrieval task.,historical-proxy-not-gpt-5.6-calibration,false,,,,,5
nolima-gpt41-1k,nolima-gpt41-context,NoLiMa,GPT-4.1,latent-association needle retrieval without literal overlap,accuracy,1000,0.956,proportion,7540,tests,source-reported,rounded,Official repository Results table GPT-4.1 row,https://github.com/adobe-research/NoLiMa,Transcribed from 95.6 percent and divided by 100.,No confidence interval or standard error reported,Score is rounded to 0.1 percentage point; 7540 is the paper's design count for a 26-placement context length.,historical-proxy-not-gpt-5.6-calibration,true,nolima-gpt41-1k,1000,0.956,1,1
nolima-gpt41-2k,nolima-gpt41-context,NoLiMa,GPT-4.1,latent-association needle retrieval without literal overlap,accuracy,2000,0.952,proportion,7540,tests,source-reported,rounded,Official repository Results table GPT-4.1 row,https://github.com/adobe-research/NoLiMa,Transcribed from 95.2 percent and divided by 100.,No confidence interval or standard error reported,Score is rounded to 0.1 percentage point; synthetic association-recall task.,historical-proxy-not-gpt-5.6-calibration,true,nolima-gpt41-1k,1000,0.956,0.99581589958159,2
nolima-gpt41-4k,nolima-gpt41-context,NoLiMa,GPT-4.1,latent-association needle retrieval without literal overlap,accuracy,4000,0.917,proportion,7540,tests,source-reported,rounded,Official repository Results table GPT-4.1 row,https://github.com/adobe-research/NoLiMa,Transcribed from 91.7 percent and divided by 100.,No confidence interval or standard error reported,Score is rounded to 0.1 percentage point; synthetic association-recall task.,historical-proxy-not-gpt-5.6-calibration,true,nolima-gpt41-1k,1000,0.956,0.959205020920502,3
nolima-gpt41-8k,nolima-gpt41-context,NoLiMa,GPT-4.1,latent-association needle retrieval without literal overlap,accuracy,8000,0.875,proportion,7540,tests,source-reported,rounded,Official repository Results table GPT-4.1 row,https://github.com/adobe-research/NoLiMa,Transcribed from 87.5 percent and divided by 100.,No confidence interval or standard error reported,Score is rounded to 0.1 percentage point; synthetic association-recall task.,historical-proxy-not-gpt-5.6-calibration,true,nolima-gpt41-1k,1000,0.956,0.915271966527197,4
nolima-gpt41-16k,nolima-gpt41-context,NoLiMa,GPT-4.1,latent-association needle retrieval without literal overlap,accuracy,16000,0.849,proportion,7540,tests,source-reported,rounded,Official repository Results table GPT-4.1 row,https://github.com/adobe-research/NoLiMa,Transcribed from 84.9 percent and divided by 100.,No confidence interval or standard error reported,Score is rounded to 0.1 percentage point; synthetic association-recall task.,historical-proxy-not-gpt-5.6-calibration,true,nolima-gpt41-1k,1000,0.956,0.888075313807531,5
nolima-gpt41-32k,nolima-gpt41-context,NoLiMa,GPT-4.1,latent-association needle retrieval without literal overlap,accuracy,32000,0.798,proportion,7540,tests,source-reported,rounded,Official repository Results table GPT-4.1 row,https://github.com/adobe-research/NoLiMa,Transcribed from 79.8 percent and divided by 100.,No confidence interval or standard error reported,Score is rounded to 0.1 percentage point; synthetic association-recall task.,historical-proxy-not-gpt-5.6-calibration,true,nolima-gpt41-1k,1000,0.956,0.834728033472803,6
nolima-gpt41-64k,nolima-gpt41-context,NoLiMa,GPT-4.1,latent-association needle retrieval without literal overlap,accuracy,64000,0.697,proportion,3190,tests,source-reported,rounded,Official repository Results table GPT-4.1 row,https://github.com/adobe-research/NoLiMa,Transcribed from 69.7 percent and divided by 100; sample size is design-derived as 5 haystacks x 58 pairs x 11 placements.,No confidence interval or standard error reported,Score is rounded to 0.1 percentage point; 64K uses 11 rather than 26 placements and is not directly equal-precision with shorter lengths.,historical-proxy-not-gpt-5.6-calibration,true,nolima-gpt41-1k,1000,0.956,0.72907949790795,7
nolima-gpt41-128k,nolima-gpt41-context,NoLiMa,GPT-4.1,latent-association needle retrieval without literal overlap,accuracy,128000,0.647,proportion,3190,tests,source-reported,rounded,Official repository Results table GPT-4.1 row,https://github.com/adobe-research/NoLiMa,Transcribed from 64.7 percent and divided by 100; sample size is design-derived as 5 haystacks x 58 pairs x 11 placements.,No confidence interval or standard error reported,Score is rounded to 0.1 percentage point; 128K uses 11 rather than 26 placements; no observations beyond 128K are reported.,historical-proxy-not-gpt-5.6-calibration,true,nolima-gpt41-1k,1000,0.956,0.676778242677824,8
nolima-gpt41-base,nolima-gpt41-context,NoLiMa,GPT-4.1,latent-association needle retrieval without literal overlap,accuracy,,0.970,proportion,22620,tests across 250 500 and 1000 token settings,source-reported,rounded,Official repository Results table GPT-4.1 row,https://github.com/adobe-research/NoLiMa,Transcribed from the reported 97.0 percent base score and divided by 100; sample size is design-derived as 3 x 7540 tests.,No confidence interval or standard error reported,Base pools three short-context settings; score is rounded to 0.1 percentage point; the benchmark is synthetic retrieval and reasoning rather than a coding-agent session.,historical-proxy-not-gpt-5.6-calibration,false,,,,,9
ruler-gemini15-4k,ruler-gemini15-context,RULER,Gemini-1.5-Pro,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,4000,0.967,proportion,6500,task examples,source-reported,rounded,Table 3,https://openreview.net/forum?id=kIoBbc76Sy,Transcribed from 96.7 percent and divided by 100; 13 tasks x 500 examples.,No confidence interval or standard error reported,Rounded aggregate hides large task-category differences; synthetic benchmark; model is historical; maximum observed length is 128K.,historical-proxy-not-gpt-5.6-calibration,true,ruler-gemini15-4k,4000,0.967,1,1
ruler-gemini15-8k,ruler-gemini15-context,RULER,Gemini-1.5-Pro,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,8000,0.958,proportion,6500,task examples,source-reported,rounded,Table 3,https://openreview.net/forum?id=kIoBbc76Sy,Transcribed from 95.8 percent and divided by 100; 13 tasks x 500 examples.,No confidence interval or standard error reported,Rounded aggregate hides task heterogeneity; synthetic benchmark; model is historical.,historical-proxy-not-gpt-5.6-calibration,true,ruler-gemini15-4k,4000,0.967,0.990692864529473,2
ruler-gemini15-16k,ruler-gemini15-context,RULER,Gemini-1.5-Pro,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,16000,0.960,proportion,6500,task examples,source-reported,rounded,Table 3,https://openreview.net/forum?id=kIoBbc76Sy,Transcribed from 96.0 percent and divided by 100; 13 tasks x 500 examples.,No confidence interval or standard error reported,Non-monotone point estimate; rounded aggregate hides task heterogeneity; synthetic benchmark.,historical-proxy-not-gpt-5.6-calibration,true,ruler-gemini15-4k,4000,0.967,0.992761116856256,3
ruler-gemini15-32k,ruler-gemini15-context,RULER,Gemini-1.5-Pro,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,32000,0.959,proportion,6500,task examples,source-reported,rounded,Table 3,https://openreview.net/forum?id=kIoBbc76Sy,Transcribed from 95.9 percent and divided by 100; 13 tasks x 500 examples.,No confidence interval or standard error reported,Rounded aggregate hides task heterogeneity; synthetic benchmark; model is historical.,historical-proxy-not-gpt-5.6-calibration,true,ruler-gemini15-4k,4000,0.967,0.991726990692865,4
ruler-gemini15-64k,ruler-gemini15-context,RULER,Gemini-1.5-Pro,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,64000,0.959,proportion,6500,task examples,source-reported,rounded,Table 3,https://openreview.net/forum?id=kIoBbc76Sy,Transcribed from 95.9 percent and divided by 100; 13 tasks x 500 examples.,No confidence interval or standard error reported,Rounded aggregate hides task heterogeneity; synthetic benchmark; model is historical.,historical-proxy-not-gpt-5.6-calibration,true,ruler-gemini15-4k,4000,0.967,0.991726990692865,5
ruler-gemini15-128k,ruler-gemini15-context,RULER,Gemini-1.5-Pro,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,128000,0.944,proportion,6500,task examples,source-reported,rounded,Table 3,https://openreview.net/forum?id=kIoBbc76Sy,Transcribed from 94.4 percent and divided by 100; 13 tasks x 500 examples.,No confidence interval or standard error reported,Rounded aggregate hides task heterogeneity; synthetic benchmark; no observations beyond 128K.,historical-proxy-not-gpt-5.6-calibration,true,ruler-gemini15-4k,4000,0.967,0.976215098241985,6
ruler-gpt4-4k,ruler-gpt4-1106-context,RULER,gpt-4-1106-preview,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,4000,0.966,proportion,6500,task examples,source-reported,rounded,Table 3,https://openreview.net/forum?id=kIoBbc76Sy,Transcribed from 96.6 percent and divided by 100; 13 tasks x 500 examples.,No confidence interval or standard error reported,Rounded aggregate hides large task-category differences; synthetic benchmark; model is historical; maximum observed length is 128K.,historical-proxy-not-gpt-5.6-calibration,true,ruler-gpt4-4k,4000,0.966,1,1
ruler-gpt4-8k,ruler-gpt4-1106-context,RULER,gpt-4-1106-preview,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,8000,0.963,proportion,6500,task examples,source-reported,rounded,Table 3,https://openreview.net/forum?id=kIoBbc76Sy,Transcribed from 96.3 percent and divided by 100; 13 tasks x 500 examples.,No confidence interval or standard error reported,Rounded aggregate hides task heterogeneity; synthetic benchmark; model is historical.,historical-proxy-not-gpt-5.6-calibration,true,ruler-gpt4-4k,4000,0.966,0.996894409937888,2
ruler-gpt4-16k,ruler-gpt4-1106-context,RULER,gpt-4-1106-preview,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,16000,0.952,proportion,6500,task examples,source-reported,rounded,Table 3,https://openreview.net/forum?id=kIoBbc76Sy,Transcribed from 95.2 percent and divided by 100; 13 tasks x 500 examples.,No confidence interval or standard error reported,Rounded aggregate hides task heterogeneity; synthetic benchmark; model is historical.,historical-proxy-not-gpt-5.6-calibration,true,ruler-gpt4-4k,4000,0.966,0.985507246376812,3
ruler-gpt4-32k,ruler-gpt4-1106-context,RULER,gpt-4-1106-preview,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,32000,0.932,proportion,6500,task examples,source-reported,rounded,Table 3,https://openreview.net/forum?id=kIoBbc76Sy,Transcribed from 93.2 percent and divided by 100; 13 tasks x 500 examples.,No confidence interval or standard error reported,Rounded aggregate hides task heterogeneity; synthetic benchmark; model is historical.,historical-proxy-not-gpt-5.6-calibration,true,ruler-gpt4-4k,4000,0.966,0.9648033126294,4
ruler-gpt4-64k,ruler-gpt4-1106-context,RULER,gpt-4-1106-preview,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,64000,0.870,proportion,6500,task examples,source-reported,rounded,Table 3,https://openreview.net/forum?id=kIoBbc76Sy,Transcribed from 87.0 percent and divided by 100; 13 tasks x 500 examples.,No confidence interval or standard error reported,Rounded aggregate hides task heterogeneity; synthetic benchmark; model is historical.,historical-proxy-not-gpt-5.6-calibration,true,ruler-gpt4-4k,4000,0.966,0.900621118012422,5
ruler-gpt4-128k,ruler-gpt4-1106-context,RULER,gpt-4-1106-preview,mean across 13 synthetic retrieval tracking aggregation and QA tasks,mean accuracy,128000,0.812,proportion,6500,task examples,source-reported,rounded,Table 3,https://openreview.net/forum?id=kIoBbc76Sy,Transcribed from 81.2 percent and divided by 100; 13 tasks x 500 examples.,No confidence interval or standard error reported,Rounded aggregate hides task heterogeneity; synthetic benchmark; no observations beyond 128K.,historical-proxy-not-gpt-5.6-calibration,true,ruler-gpt4-4k,4000,0.966,0.840579710144928,6
